Area served,Airport name,Airport URL,IATA,ICAO,Airport type,Operational,Owned/operated by,lat,lon,infobox_owner,infobox_operator,infobox_location,stats_passengers,stats_aircraft_movements,stats_cargo_tonnage,error
Pune,Pune Airport,https://en.wikipedia.org/wiki/Pune_Airport,PNQ,VAPO,International (CE),Yes,MoD&AAI,18.58222,73.91972,Indian Air Force,Airports Authority of India,"Lohegaon , Pune , Maharashtra , India","10,457,694","68,830","42,293",
Ratnagiri,Ratnagiri Airport,https://en.wikipedia.org/wiki/Ratnagiri_Airport,RTC,VARG,State/Private,No,CGAS Ratnagiri,17.01361,73.32778,,Maharashtra Industrial Development Corporation,,,,,
Shirdi,Shirdi Airport,https://en.wikipedia.org/wiki/Shirdi_Airport,SAG,VASD,International,Yes,MADC,19.68861,74.37889,Maharashtra Airport Development Company,Airports Authority of India,"Kakadi, Ahmednagar district , Maharashtra , India","741,540","6,793",95,
Solapur,Solapur Airport,https://en.wikipedia.org/wiki/Solapur_Airport,SSE,VASL,Domestic,Yes,AAI,17.625,75.93611,Government of India,Airports Authority of India,"Solapur, Maharashtra",,,,
Sindhudurg,Sindhudurg Airport,https://en.wikipedia.org/wiki/Sindhudurg_Airport,SDW,VOSR,State/Private,Yes,Government of Maharashtra,16.0,73.53333,,,"Chipi-Parule, Vengurla taluka , Sindhudurg district , Maharashtra , India","17,618",397,,
Yavatmal,Sant Gadge Baba Yavatmal Airport,https://en.wikipedia.org/wiki/Sant_Gadge_Baba_Yavatmal_Airport,YTL,VA78,State/Private,No,Government of Maharashtra,20.39639,78.20833,Maharashtra Industrial Development Corporation,MIDC,Yavatmal,,,,
Imphal,Bir Tikendrajit International Airport,https://en.wikipedia.org/wiki/Bir_Tikendrajit_International_Airport,IMF,VEIM,International,Yes,AAI,24.76,93.89667,Government of Manipur,Airports Authority of India,"Tulihal, Imphal, Manipur , India","1,406,227","12,385","6,199",
Shillong,Shillong Airport,https://en.wikipedia.org/wiki/Shillong_Airport,SHL,VEBI,Domestic,Yes,AAI,25.70361,91.97861,,Airports Authority of India,"Umroi , Shillong, Meghalaya , India",,,,
Shella,Shella Airport,https://en.wikipedia.org/wiki/Shella_Airport,,,Domestic,No,AAI,25.57,91.87,,Airports Authority of India,,,,,
Aizawl,Turial Airport,https://en.wikipedia.org/w/index.php?title=Turial_Airport&action=edit&redlink=1,,VEAZ,Domestic,No,AAI,,,,,,,,,404 Client Error: Not Found for url: https://en.wikipedia.org/wiki/Turial_Airport
Aizawl,Lengpui Airport,https://en.wikipedia.org/wiki/Lengpui_Airport,AJL,VELP,State/Private,Yes,Government of Mizoram,23.8384417,92.6203583,Government of Mizoram,Airports Authority of India,"Lengpui , Mamit district , Mizoram , India","493,465","4,692","1,309",
Dimapur,Dimapur Airport,https://en.wikipedia.org/wiki/Dimapur_Airport,DMU,VEMR,Domestic,Yes,AAI,25.88389,93.77111,,Airports Authority of India,"3rd Mile, Diphupar, Chümoukedima District , Nagaland , India",,,,
Angul,Savitri Jindal Airport,https://en.wikipedia.org/wiki/Savitri_Jindal_Airport,,VEAL,State/Private,Yes,JSPL,20.91056,85.03528,Jindal Steel and Power,,"Angul , Angul district , Odisha",,,,
Balangir,Tusura Airstrip,https://en.wikipedia.org/wiki/Tusura_Airstrip,,VETS,State/Private,No,Government of Odisha,20.51139,83.44722,Government of Odisha,,"Tusura, Balangir district , Odisha",,,,
Barbil,Barbil Tonto Airstrip,https://en.wikipedia.org/wiki/Barbil_Tonto_Airstrip,,VEBL,State/Private,No,Government of OdishaandJSPL,22.06139,85.37333,Government of Odisha,Jindal Steel and Power,"Barbil , Kendujhar district , Odisha",,,,
Berhampur,Berhampur Airport,https://en.wikipedia.org/wiki/Berhampur_Airport,QBM,VEBM,Domestic,Yes,Government of Odisha,19.2975,84.87694,Public Works Department of Odisha,Airports Authority of India,"Rangeilunda, Berhampur, Odisha , India",,,,
Bhubaneswar,Biju Patnaik International Airport,https://en.wikipedia.org/wiki/Biju_Patnaik_Airport,BBI,VEBS,International,Yes,AAI,20.24444,85.81778,,,"Bhubaneswar , Odisha , India","4,838,751","37,205","9,086",
Dhamra,Dhamra Airport,https://en.wikipedia.org/wiki/Dhamra_Airport,,,Domestic,No,Dhamra Port,20.82333,86.96278,Dhamra Port Company Limited,,"Dhamra , Bhadrak district , Odisha",,,,
Dhenkanal,Birasal Airstrip,https://en.wikipedia.org/wiki/Birasal_Airstrip,,,State/Private,Yes,Government of Odisha,20.9835139,85.6790222,Government of Odisha,,"Dhenkanal , Odisha , India",,,,
Jeypore,Jeypore Airport,https://en.wikipedia.org/wiki/Jeypore_Airport,PYB,VEJP,Domestic,Yes,AAI,18.8802,82.5523,Public Works Department,Airports Authority of India,"Jeypore, Koraput district , Odisha , India","4,584","1,382",,
Jharsuguda,Veer Surendra Sai Airport,https://en.wikipedia.org/wiki/Veer_Surendra_Sai_Airport,JRG,VEJH,Domestic,Yes,AAI,21.91333,84.05028,Airports Authority of India,,"Durlaga, Jharsuguda, Odisha , India","313,381","3,173",,
Lanjigarh,Lanjigarh Airstrip,https://en.wikipedia.org/wiki/Lanjigarh_Airstrip,,,State/Private,Yes,Vedanta Resources,19.71944,83.39361,Vedanta Resources,,"Lanjigarh , Kalahandi district , Odisha",,,,
Phulbani,Gudari Airstrip,https://en.wikipedia.org/wiki/Gudari_Airstrip,,VEPN,State/Private,No,Government of Odisha,20.46444,84.26528,Government of Odisha,,"Phulbani , Kandhamal , Odisha",,,,
Puri,Puri International Airport,https://en.wikipedia.org/wiki/Puri_International_Airport,,,International,No,AAI,19.79444,85.75111,"Commerce and Transport Department, Government of Odisha",Airport Authority of India,"Sipasarubali and Sandhapur, Puri District , Odisha",,,,
Rairangpur,Dandbose Airport,https://en.wikipedia.org/wiki/Rairangpur_Airstrip,,,Domestic,No,Government of Odisha,22.305,86.13528,Government of Odisha,Airport Authority of India,"Rairangpur , Odisha , India",,,,
Rourkela,Rourkela Airport,https://en.wikipedia.org/wiki/Rourkela_Airport,RRK,VERK,Domestic,Yes,AAIandSAIL,22.25639,84.81444,Rourkela Steel Plant,Airports Authority of India,"Chhend Colony , Rourkela, Odisha , India","26,750",809,,
Utkela,Utkela Airport,https://en.wikipedia.org/wiki/Utkela_Airport,UKE,VEUK,Domestic,Yes,Government of Odisha,20.09778,83.18333,Government of Odisha,Airports Authority of India,"Utkela, Kalahandi district , Odisha , India","1,155",208,,
Amritsar,Beas Airport,https://en.wikipedia.org/wiki/Beas_Airport,,VIBS,State/Private,Yes,Beas Spectruin Aero,31.56056,75.34111,Radha Soami Satsang Beas,,Beas,,,,
Amritsar,Sri Guru Ram Dass Jee International Airport,https://en.wikipedia.org/wiki/Sri_Guru_Ram_Dass_Jee_International_Airport,ATQ,VIAR,International,Yes,AAI,31.70778,74.79917,,Airports Authority of India,"Raja Sansi , Amritsar, Punjab , India","3,542,880","23,071","3,362",
Bathinda,Bathinda Airport,https://en.wikipedia.org/wiki/Bathinda_Airport,BUP,VIBT,Domestic (CE),Yes,MoDandAAI,30.27,74.75556,Indian Air Force,Airports Authority of India,"Bhisiana , Bathinda district , Punjab , India","31,004","1,331",,
Jalandhar,Adampur Airport,https://en.wikipedia.org/wiki/Adampur_Airport,AIP,VIAX,Domestic (CE),Yes,MoDandAAI,31.43306,75.76056,Ministry of Civil Aviation,"Airports Authority of India , Indian Air Force","Adampur , Jalandhar district , Punjab , India","35,220",772,,
Ludhiana,Ludhiana Airport,https://en.wikipedia.org/wiki/Ludhiana_Airport,LUH,VILD,Domestic,Yes,Government of PunjabandAAI,30.85472,75.9525,Government of Punjab,Airports Authority of India,"Sahnewal , Ludhiana district , Punjab , India","2,003",404,,
Ludhiana,Shaheed Kartar Singh Sarabha International Airport,https://en.wikipedia.org/wiki/Ludhiana_Halwara_International_Airport,HWR,VIHX,International (CE),No,MoDandAAI,30.74778,75.63083,Airports Authority of India,,"Halwara , Punjab , India",,,,
Mohali,Shaheed Bhagat Singh International Airport,https://en.wikipedia.org/wiki/Shaheed_Bhagat_Singh_International_Airport,IXC,VICG,International (CE),Yes,CHIAL,30.67472,76.79056,Airports Authority of India,Chandigarh International Airport Limited (CHIAL) Airports Authority of India (51%) Haryana Shahari Vikas Pradhikaran (24.5%) Greater Mohali Area Development Authority (24.5%),"Chandigarh, Punjab , India","4,149,840","28,331","14,138",
Pathankot,Pathankot Airport,https://en.wikipedia.org/wiki/Pathankot_Airport,IXP,VIPK,Domestic (CE),No,MoDandAAI,32.23361,75.63444,Government of India,Airports Authority of India,"Pathankot , Punjab , India",,,,
Ajmer,Kishangarh Airport,https://en.wikipedia.org/wiki/Kishangarh_Airport,KQH,VIKG,Domestic,Yes,AAI,26.60139,74.81417,,,"Kishangarh, Rajasthan , India","86,361","2,234",,
Banasthali,Banasthali Airstrip,https://en.wikipedia.org/w/index.php?title=Banasthali_Airstrip&action=edit&redlink=1,,,State/Private,No,Banasthali Vidyapith,,,,,,,,,404 Client Error: Not Found for url: https://en.wikipedia.org/wiki/Banasthali_Airstrip
Bikaner,Bikaner Airport,https://en.wikipedia.org/wiki/Bikaner_Airport,BKB,VIBK,Domestic (CE),Yes,MoDandAAI,28.07056,73.20694,,Indian Air Force,"Nal, Bikaner, Rajasthan , India","13,714",430,,
Jaipur,Jaipur International Airport,https://en.wikipedia.org/wiki/Jaipur_International_Airport,JAI,VIJP,International,Yes,Adani Group,26.82417,75.81222,Airports Authority of India,Jaipur International Airport Limited,"Sanganer , Jaipur, Rajasthan , India","6,057,249",,"21,761",
Jaisalmer,Jaisalmer Airport,https://en.wikipedia.org/wiki/Jaisalmer_Airport,JSA,VIJR,Domestic (CE),Yes,MoDandAAI,26.88028,70.855,Airports Authority of India,Airports Authority of India,"Jaisalmer, Rajasthan , India","120,714","1,018",,
Jodhpur,Jodhpur Airport,https://en.wikipedia.org/wiki/Jodhpur_Airport,JDH,VIJO,Domestic (CE),Yes,MoDandAAI,26.25722,73.05167,,Airports Authority of India,"Jodhpur, Rajasthan , India","1,041,817","8,171",135,
Kankroli,Kankroli Airstrip,https://en.wikipedia.org/w/index.php?title=Kankroli_Airstrip&action=edit&redlink=1,,,State/Private,No,Government of Rajasthan,,,,,,,,,404 Client Error: Not Found for url: https://en.wikipedia.org/wiki/Kankroli_Airstrip
Kota,Kota Airport,https://en.wikipedia.org/wiki/Kota_Airport,KTU,VIKO,Domestic,No,AAI,25.1601083,75.8456306,,Airports Authority of India,"Kota, India",,,,
Udaipur,Maharana Pratap Airport,https://en.wikipedia.org/wiki/Maharana_Pratap_Airport,UDR,VAUD,Domestic,Yes,AAI,24.617556,73.89444,,Airports Authority of India,"Dabok, Udaipur district , Rajasthan , India","1,650,607","13,821",344,
Gangtok,Pakyong Airport,https://en.wikipedia.org/wiki/Pakyong_Airport,PYG,VEPY,Domestic,Yes,AAI,27.2325,88.58833,Government of India,Airports Authority of India,"Pakyong , Pakyong district , Sikkim , India","11,111",188,,
Chennai,Chennai International Airport,https://en.wikipedia.org/wiki/Chennai_International_Airport,MAA,VOMM,International,Yes,AAI,12.98222,80.16361,Ministry of Civil Aviation,Airports Authority of India,"Tirusulam , Chennai , Tamil Nadu , India","22,411,290","156,126","379,154",
Chennai,Chennai Parandur Airport,https://en.wikipedia.org/wiki/Chennai_Parandur_Airport,,,International,No,TIDCO,12.93333,79.74028,,,"Parandur , Kanchipuram district , Tamil Nadu , India",,,,
Coimbatore,Coimbatore International Airport,https://en.wikipedia.org/wiki/Coimbatore_International_Airport,CJB,VOCB,International,Yes,AAI,11.02667,77.04167,Ministry of Civil Aviation,Airports Authority of India,"Peelamedu , Coimbatore , Tamil Nadu , India","3,253,190","21,833","12,139",
Hosur,Hosur Aerodrome,https://en.wikipedia.org/wiki/Hosur_Aerodrome,,VO95,State/Private,No,TAAL,12.66111,77.76694,Taneja,Taneja Aerospace and Aviation,Near Hosur,,,,
Madurai,Madurai Airport,https://en.wikipedia.org/wiki/Madurai_Airport,IXM,VOMD,Custom,Yes,AAI,9.83361,78.08944,Ministry of Civil Aviation,Airports Authority of India,"Madurai, Tamil Nadu , India","1,399,046","13,513","3,494",
Neyveli,Neyveli Airport,https://en.wikipedia.org/wiki/Neyveli_Airport,NVY,VONY,State/Private,No,Neyveli Lignite Corporation,11.61361,79.52639,NLC India Ltd,,NLC India Ltd,,,,
Salem,Salem Airport,https://en.wikipedia.org/wiki/Salem_Airport_(India),SXV,VOSM,Domestic,Yes,AAI,11.78194,78.06444,Ministry of Civil Aviation,Airports Authority of India,"Kamalapuram, Salem district , Tamil Nadu , India","130,132","2,504",,
Thanjavur,Thanjavur Airport,https://en.wikipedia.org/wiki/Thanjavur_Air_Force_Station,TJV,VOTJ,Domestic (CE),No,MoDandAAI,10.72222,79.10139,Indian Air Force,Southern Air Command,"Pilaiyarpatti, Thanjavur, Tamil Nadu , India",,,,
Thoothukkudi,Tuticorin Airport,https://en.wikipedia.org/wiki/Tuticorin_Airport,TCR,VOTK,Domestic,Yes,AAI,8.72417,78.02583,Ministry of Civil Aviation,Airports Authority of India,"Vagaikulam , Thoothukkudi district , Tamil Nadu , India","230,151","3,676",13,
Tiruchirappalli,Tiruchirappalli International Airport,https://en.wikipedia.org/wiki/Tiruchirappalli_International_Airport,TRZ,VOTR,International,Yes,AAI,10.76556,78.715,Ministry of Civil Aviation,Airports Authority of India,"Tiruchirappalli, Tamil Nadu , India","1,956,851","17,398","6,476",
Vellore,Vellore Airport,https://en.wikipedia.org/wiki/Vellore_Airport,,VOVR,Domestic,No,AAI,12.90861,79.06667,Ministry of Civil Aviation,Airports Authority of India,"poigoi, Vellore , Tamil Nadu",,,,
Hyderabad,Begumpet Airport,https://en.wikipedia.org/wiki/Begumpet_Airport,BPM,VOHY,Domestic,Yes,Government of Telangana,17.45306,78.4675,,,"Begumpet , Telangana , India",,,,
Hyderabad,Rajiv Gandhi International Airport,https://en.wikipedia.org/wiki/Rajiv_Gandhi_International_Airport,HYD,VOHS,International,Yes,GMR Hyderabad International Airport Limited,17.23,78.43194,,,"Shamshabad , Hyderabad , Telangana , India","29,165,232","202,395","167,665",
Warangal,Warangal Airport,https://en.wikipedia.org/wiki/Warangal_Airport,WGC,VOWA,Domestic,No,AAI,17.91667,79.6,Airports Authority of India,Airports Authority of India,"Warangal , Telangana , India",,,,
Agartala,Maharaja Bir Bikram Airport,https://en.wikipedia.org/wiki/Maharaja_Bir_Bikram_Airport,IXA,VEAT,Customs,Yes,AAI,23.89,91.24222,,,"Singerbhil, Agartala, Tripura , India","1,410,793","9,945","5,489",
Kailashahar,Kailashahar Airport,https://en.wikipedia.org/wiki/Kailashahar_Airport,IXH,VEKR,Domestic,No,AAI,24.30806,92.00722,,Airports Authority of India,"Kailashahar , Tripura , India",,,,
Kamalpur,Kamalpur Airport,https://en.wikipedia.org/wiki/Kamalpur_Airport,IXQ,VEKN,Domestic,No,AAI,24.13167,91.81417,,Airports Authority of India,"Kamalpur, India",,,,
Khowai,Khowai Airport,https://en.wikipedia.org/wiki/Khowai_Airport,IXN,VEKW,Domestic,No,AAI,24.06167,91.60389,,Airports Authority of India,"Khowai, India",,,,
Agra,Agra Airport,https://en.wikipedia.org/wiki/Agra_Airport,AGR,VIAG,Domestic (CE),Yes,MoDandAAI,27.1618309,77.9707261,Indian Air Force,Airports Authority of India,"Kheria, Agra, Uttar Pradesh , India","168,362","1,848",54,
Amethi,Fursatganj Airfield,https://en.wikipedia.org/wiki/Fursatganj_Airfield,,VERB,Domestic,No,AAI[9],26.2516646,81.3863976,"Ministry of Civil Aviation , Government of India",Airports Authority of India,"Fursatganj, Amethi district , Uttar Pradesh , India",,,,
Aligarh,Aligarh Airport,https://en.wikipedia.org/wiki/Aligarh_Airport,HRH,VIAH,Domestic,Yes,Government of Uttar PradeshandAAI[10],27.8592,78.1487,Government of Uttar Pradesh,Airports Authority of India,"Khangarhi, Aligarh, Uttar Pradesh , India","1,239",240,,
Ayodhya,Maharishi Valmiki International Airport[11],https://en.wikipedia.org/wiki/Maharishi_Valmiki_International_Airport,AYJ,VEAY,International,Yes,AAI,26.7480337,82.1507812,Government of India,Airports Authority of India,"Usroo, Ayodhya, Uttar Pradesh , India","1,115,016","1,694",,
Azamgarh,Azamgarh Airport,https://en.wikipedia.org/wiki/Azamgarh_Airport,,VEAH,Domestic,Yes,Government of Uttar PradeshandAAI[10],26.15333,83.11833,Government of Uttar Pradesh,Government of Uttar Pradesh,"Manduri, Azamgarh",,,,
Bareilly,Bareilly Airport,https://en.wikipedia.org/wiki/Bareilly_Airport,BEK,VIBY,Domestic (CE),Yes,MoDandAAI,28.42222,79.45083,Indian Air Force,Airports Authority of India,"Izzatnagar, Bareilly, Uttar Pradesh , India","121,746",828,,
Chitrakoot,Chitrakoot Airport,https://en.wikipedia.org/wiki/Chitrakoot_Airport,,VECT,Domestic,Yes,Government of Uttar PradeshandAAI[10],25.167694,80.9358,Government of Uttar Pradesh,Airports Authority of India,"Dewanga, Chitrakoot district , Uttar Pradesh , India",,,,
Ghaziabad,Hindon Airport,https://en.wikipedia.org/wiki/Hindon_Airport,HDO,VIDX,Domestic (CE),Yes,MoDandAAI,28.7057898,77.3421373,Indian Air Force,Airports Authority of India,"Ghaziabad , Uttar Pradesh , India","83,964","3,080",,
Gorakhpur,Gorakhpur Airport,https://en.wikipedia.org/wiki/Gorakhpur_Airport,GOP,VEGK,Domestic (CE),Yes,MoDandAAI,26.73944,83.44944,Indian Air Force,Airports Authority of India,"Gorakhpur , Uttar Pradesh , India","867,994","5,650",,
Kanpur,Kanpur Airport,https://en.wikipedia.org/wiki/Kanpur_Airport,KNU,VIKA,Domestic (CE),Yes,MoDandAAI,26.3994624,80.4269499,Airports Authority of India,Airports Authority of India,"Chakeri , Kanpur, Uttar Pradesh , India","322,252","2,210",116,
Kushinagar,Kushinagar International Airport,https://en.wikipedia.org/wiki/Kushinagar_International_Airport,KBK,VEKI,International,Yes,AAI,26.77,83.90806,Ministry of Civil Aviation,Airports Authority of India,"Kushinagar, Uttar Pradesh , India",,,,
Lucknow,Chaudhary Charan Singh International Airport,https://en.wikipedia.org/wiki/Chaudhary_Charan_Singh_International_Airport,LKO,VILK,International,Yes,Adani Group,26.76056,80.89028,Airport Authority of India,Lucknow International Airport Limited,"Amausi, Lucknow , Uttar Pradesh , India","6,438,506","49,662","22,102",
Meerut,Dr. Bhimrao Ambedkar Airstrip,https://en.wikipedia.org/wiki/Dr._Bhimrao_Ambedkar_Airstrip,,VI2B,State/Private,No,AAI,28.905,77.67694,Airports Authority of India,,"Meerut , Uttar Pradesh , India",,,,
Moradabad,Moradabad Airport,https://en.wikipedia.org/wiki/Moradabad_Airport,,,Domestic,Yes,AAI,28.81944,78.92333,Government of India,Airports Authority of India,"Moradabad, Uttar Pradesh , India",572,82,,
Noida,Noida International Airport,https://en.wikipedia.org/wiki/Noida_International_Airport,DXN,VIND,International,No,YIAPL,28.17,77.61,Noida International Airport Limited (NIAL),Yamuna International Airport Private Limited (YIAPL) (an SPE of Zurich Airport AG ),"Jewar , Gautam Buddha Nagar district , Uttar Pradesh, India",,,,
Prayagraj,Prayagraj Airport,https://en.wikipedia.org/wiki/Allahabad_Airport,IXD,VEAB,Domestic (CE),Yes,MoDandAAI,25.44,81.73389,Indian Air Force,Airports Authority of India,"Bamrauli, Prayagraj, Uttar Pradesh , India","1,077,393","9,665",51,
Renukoot,Muirpur Airport,https://en.wikipedia.org/wiki/Muirpur_Airport,,VU1D,State/Private,No,Government of Uttar PradeshandAAI[10],24.12583,83.04333,Government of Uttar Pradesh,Government of Uttar Pradesh,"Muirpur, Sonbhadra , Uttar Pradesh , India",,,,
Saharanpur,Sarsawa Airport,https://en.wikipedia.org/wiki/Sarsawa_Airport,SWN,VISP,Domestic (CE),Yes,MoDandAAI,29.9895554,77.4080063,Indian Air Force,Airports Authority of India,"Sarsawa , Saharanpur district , Uttar Pradesh , India",,,,
Shravasti,Shravasti Airport,https://en.wikipedia.org/wiki/Shravasti_Airport,,VISV,Domestic,Yes,Government of Uttar PradeshandAAI[10],27.50306,82.02694,Government of Uttar Pradesh,Airports Authority of India,"Shravasti , Uttar Pradesh , India",,,,
Varanasi,Lal Bahadur Shastri International Airport,https://en.wikipedia.org/wiki/Lal_Bahadur_Shastri_Airport,VNS,VEBN,International,Yes,AAI,25.45222,82.85944,Government of India,Airports Authority of India,"Babatpur , Varanasi district , Uttar Pradesh , India","4,027,810","26,687","6,033",
Dehradun,Jolly Grant Airport,https://en.wikipedia.org/wiki/Dehradun_Airport,DED,VIDN,Domestic,Yes,AAI,30.18972,78.18028,Airports Authority of India,Airports Authority of India,"Jauligrant, Dehradun district , Uttarakhand , India","1,724,978","15,417","1,959",
Pantnagar,Pantnagar Airport,https://en.wikipedia.org/wiki/Pantnagar_Airport,PGH,VIPT,Domestic,Yes,AAI,29.03222,79.47417,,Airports Authority of India,"Pantnagar, Uttarakhand , India","101,013","2,160",,
Pithoragarh,Naini-Saini Airport,https://en.wikipedia.org/wiki/Pithoragarh_Airport,NNS,VIDF,Domestic,Yes,Government of Uttarakhand,29.5924583,80.241775,Government of Uttarakhand,Airports Authority of India,"Naini-Saini, Pithoragarh, Uttarakhand , India","16,263",2479,,
Asansol,Burnpur Airport,https://en.wikipedia.org/wiki/Burnpur_Airport,,VEBB,State/Private,Yes,Steel Authority of India,23.63139,86.97528,IISCO Steel Plant of Steel Authority of India,Airports Authority of India,"Burnpur , Asansol , West Bengal , India",,,,
Balurghat,Balurghat Airport,https://en.wikipedia.org/wiki/Balurghat_Airport,RGH,VEBG,Domestic,No,AAI,25.26167,88.79556,Airports Authority of India,Airports Authority of India,"Balurghat , West Bengal , India",,,,
Cooch Behar,Cooch Behar Airport,https://en.wikipedia.org/wiki/Cooch_Behar_Airport,COH,VECO,Domestic,Yes,AAI,26.33111,89.46833,Airports Authority of India,Airports Authority of India,"Cooch Behar, West Bengal , India","5,478",664,,
Durgapur,Kazi Nazrul Islam Airport,https://en.wikipedia.org/wiki/Kazi_Nazrul_Islam_Airport,RDP,VEDG,Domestic,Yes,Government of West Bengal&AAI,23.62139,87.24333,Bengal Aerotropolis Projects Limited (BAPL) Government of West Bengal Changi Airport Group,Airports Authority of India,"Andal , Durgapur , West Bengal , India","5,13,488","3,996",491,
Kolkata,Behala Airport,https://en.wikipedia.org/wiki/Behala_Airport,,VEBA,Domestic,Yes,AAI,22.505306,88.296639,,Airports Authority of India,"Parnasree , Behala , Kolkata , India",,,,
Kolkata,Netaji Subhas Chandra Bose International Airport,https://en.wikipedia.org/wiki/Netaji_Subhas_Chandra_Bose_International_Airport,CCU,VECC,International,Yes,AAI,22.65472,88.44667,,,"Dum Dum , Kolkata , West Bengal , India","21,831,118","148,888","165,617",
Malda,Malda Airport,https://en.wikipedia.org/wiki/Malda_Airport,LDA,VEMH,Domestic,No,AAI,25.011,88.127,,Airports Authority of India,"English Bazar , India",,,,
Siliguri,Bagdogra International Airport,https://en.wikipedia.org/wiki/Bagdogra_International_Airport,IXB,VEBD,Customs,Yes,MoD&AAI,26.68111,88.32861,Indian Air Force,Airports Authority of India,"Bagdogra , Siliguri, West Bengal , India","3,219,410","22,390","8,952",
Port Blair,Veer Savarkar International Airport,https://en.wikipedia.org/wiki/Veer_Savarkar_International_Airport,IXZ,VOPB,International (CE),Yes,MoDandAAI,11.64111,92.72972,,Airports Authority of India,"Sri Vijaya Puram, South Andaman Island , Andaman and Nicobar Islands, India","1,656,704","12,526","7,905",
Great Nicobar,Chingan Airfield,https://en.wikipedia.org/wiki/List_of_airports_in_Andaman_and_Nicobar_Islands#Future,,,Domestic (CE),No,AAI; proposed,,,,,,,,,no airport infobox
Chandigarh,Shaheed Bhagat Singh International Airport,https://en.wikipedia.org/wiki/Shaheed_Bhagat_Singh_International_Airport,IXC,VICG,Customs,Yes,CHIAL,30.67472,76.79056,Airports Authority of India,Chandigarh International Airport Limited (CHIAL) Airports Authority of India (51%) Haryana Shahari Vikas Pradhikaran (24.5%) Greater Mohali Area Development Authority (24.5%),"Chandigarh, Punjab , India","4,149,840","28,331","14,138",
Diu,Diu Airport,https://en.wikipedia.org/wiki/Diu_Airport,DIU,VADU,Domestic,Yes,AAI,20.713,70.925,,Airports Authority of India,"Diu, Dadra and Nagar Haveli and Daman and Diu , India","104,218","2,580",,
Daman,Daman Airport,https://en.wikipedia.org/wiki/Daman_Airport,NMB,VADN,Domestic,No,Indian Coast Guard,20.43444,72.84333,,Indian Coast Guard,"Daman, India",,,,
Delhi NCR,"Indira Gandhi International Airport,New Delhi",https://en.wikipedia.org/wiki/Indira_Gandhi_International_Airport,DEL,VIDP,International,Yes,DIAL,28.56861,77.11222,Airports Authority of India,Delhi International Airport Limited (DIAL) GMR Group (74%) Airports Authority of India (26%),"Palam , Delhi , India","79,259,890","468,822","1,109,519",
Delhi NCR,"Safdarjung Airport,New Delhi",https://en.wikipedia.org/wiki/Safdarjung_Airport,,VIDD,State / Private,Yes,AAI,28.58444,77.20583,India,Airports Authority of India,"Aurobindo Marg , New Delhi",,,,
Delhi NCR,"Hindon Airport, Ghaziabad",https://en.wikipedia.org/wiki/Hindon_Airport,HDO,VIDX,Domestic (CE),Yes,MoDandAAI,28.7057898,77.3421373,Indian Air Force,Airports Authority of India,"Ghaziabad , Uttar Pradesh , India","83,964","3,080",,
Delhi NCR,"Jewar International Airport, Noida",https://en.wikipedia.org/wiki/Noida_International_Airport,DXN,VIND,International,No,YIAPL,28.17,77.61,Noida International Airport Limited (NIAL),Yamuna International Airport Private Limited (YIAPL) (an SPE of Zurich Airport AG ),"Jewar , Gautam Buddha Nagar district , Uttar Pradesh, India",,,,
Jammu,Jammu Airport,https://en.wikipedia.org/wiki/Jammu_Airport,IXJ,VIJU,Domestic (CE),Yes,MoDandAAI,32.68917,74.8375,Indian Air Force,Airports Authority of India,"Jammu, Jammu and Kashmir , India","1,614,167","13,520","1,054",
Srinagar,Srinagar Airport,https://en.wikipedia.org/wiki/Srinagar_Airport,SXR,VISR,Domestic (CE),Yes,MoDandAAI,33.987139,74.77425,Indian Air Force,Airports Authority of India,"Budgam , Jammu and Kashmir , India","4,472,449","28,494","9,891",
Leh,Kushok Bakula Rimpochee Airport,https://en.wikipedia.org/wiki/Kushok_Bakula_Rimpochee_Airport,IXL,VILH,Domestic (CE),Yes,MoDandAAI,34.13583,77.54528,Indian Air Force,Airports Authority of India,"Leh, Ladakh , India","1,194,892","8,686","1,910",
Agatti Island,Agatti Airport,https://en.wikipedia.org/wiki/Agatti_Airport,AGX,VOAT,Domestic,Yes,AAI,10.82806,72.17889,,Airports Authority of India,"Agatti Island , Lakshadweep, India","117,409","3,782",,
Puducherry,Pondicherry Airport,https://en.wikipedia.org/wiki/Puducherry_Airport,PNY,VOPC,Domestic,Yes,AAI,11.96667,79.81444,Airports Authority of India,Airports Authority of India,"Lawspet , Puducherry, India","34,190","1,216",,
